20190218 19:57:56.254539 1 6 37 37 0.71857202 0 0 
20190218 19:57:56.255966 1 6 38 37 0.74013799 0 0 
20190218 19:57:56.256715 2 6 41 27 0 
20190218 19:57:56.257200 2 6 41 28 0 
20190218 19:57:56.257687 2 6 50 27 0 
20190218 19:57:56.258167 2 6 50 28 0 
20190218 19:57:56.258713 2 6 52 27 0 
20190218 19:57:56.259109 2 6 52 28 0 
20190218 19:57:56.259501 2 6 44 27 0 
20190218 19:57:56.259912 2 6 44 28 0 
20190218 19:57:56.260303 2 6 38 27 0 
20190218 19:57:56.260708 2 6 38 28 0 
20190218 19:57:56.261107 2 6 37 27 0 
20190218 19:57:56.261615 2 6 37 28 0 
20190218 19:57:56.262013 1 6 35 37 0.67712802 0 0 
20190218 19:57:56.262466 1 6 43 37 0.82524699 0 0 
20190218 19:57:56.262896 1 6 53 37 1.01400006 0 0 
20190218 19:57:56.263428 1 6 40 37 0.76221699 0 0 
20190218 19:57:56.264080 1 6 47 37 0.89539701 0 0 
20190218 19:57:56.264902 1 6 34 37 0.65703899 0 0 
20190218 19:57:56.265842 1 6 49 37 0.95259798 0 0 
20190218 19:57:56.266644 1 6 36 37 0.69750798 0 0 
20190218 19:57:56.272985 1 6 46 37 0.867935 0 0 
20190218 19:57:56.273814 2 6 46 27 0 
20190218 19:57:56.274568 2 6 46 28 0 
20190218 19:57:56.275338 2 6 40 27 0 
20190218 19:57:56.276057 2 6 40 28 0 
20190218 19:57:56.276873 2 6 47 27 0 
20190218 19:57:56.277713 2 6 47 28 0 
20190218 19:57:56.278397 2 6 35 27 0 
20190218 19:57:56.279062 2 6 35 28 0 
20190218 19:57:56.279753 2 6 43 27 0 
20190218 19:57:56.280365 2 6 43 28 0 
20190218 19:57:56.281573 2 6 53 27 0 
20190218 19:57:56.282879 2 6 53 28 0 
20190218 19:57:56.283874 2 6 45 27 0 
20190218 19:57:56.284584 2 6 45 28 0 
20190218 19:57:56.285490 2 6 39 27 0 
20190218 19:57:56.287292 2 6 39 28 0 
20190218 19:57:56.288681 2 6 34 27 0 
20190218 19:57:56.291848 2 6 34 28 0 
20190218 19:57:56.292669 2 6 51 27 0 
20190218 19:57:56.293370 2 6 51 28 0 
20190218 19:57:56.294085 2 6 48 27 0 
20190218 19:57:56.294850 2 6 48 28 0 
20190218 19:57:56.295555 2 6 36 27 0 
20190218 19:57:56.296269 2 6 36 28 0 
20190218 19:57:56.297111 2 6 49 27 0 
20190218 19:57:56.297980 2 6 49 28 0 
20190218 19:57:56.298679 1 6 56 37 1.05961001 0 0 
20190218 19:57:56.299355 1 6 61 37 1.14451003 0 0 
20190218 19:57:56.300013 1 6 65 37 1.21807003 0 0 
20190218 19:57:56.300590 1 6 91 37 1.90953004 0 0 
20190218 19:57:56.301038 1 6 79 37 1.53403997 0 0 
20190218 19:57:56.301601 1 6 55 37 1.04409003 0 0 
20190218 19:57:56.302074 1 6 89 37 1.84003997 0 0 
20190218 19:57:56.302541 1 6 86 37 1.74172997 0 0 
20190218 19:57:56.302983 1 6 63 37 1.18043995 0 0 
20190218 19:57:56.303462 1 6 87 37 1.77374005 0 0 
20190218 19:57:56.303916 1 6 59 37 1.11015999 0 0 
20190218 19:57:56.304361 1 6 67 37 1.25749004 0 0 
20190218 19:57:56.304927 2 6 62 27 0 
20190218 19:57:56.305361 2 6 62 28 0 
20190218 19:57:56.305763 2 6 91 27 0 
20190218 19:57:56.306286 2 6 91 28 0 
20190218 19:57:56.306770 2 6 86 27 0 
20190218 19:57:56.307229 2 6 86 28 0 
20190218 19:57:56.307651 2 6 79 27 0 
20190218 19:57:56.308214 2 6 79 28 0 
20190218 19:57:56.308634 2 6 71 27 0 
20190218 19:57:56.309041 2 6 71 28 0 
20190218 19:57:56.309469 2 6 88 27 0 
20190218 19:57:56.309875 2 6 88 28 0 
20190218 19:57:56.310307 2 6 67 27 0 
20190218 19:57:56.310739 2 6 67 28 0 
20190218 19:57:56.311270 2 6 61 27 0 
20190218 19:57:56.311695 2 6 61 28 0 
20190218 19:57:56.312125 2 6 63 27 0 
20190218 19:57:56.312545 2 6 63 28 0 
20190218 19:57:56.312964 2 6 87 27 0 
20190218 19:57:56.313396 2 6 87 28 0 
20190218 19:57:56.313815 2 6 55 27 0 
20190218 19:57:56.314438 2 6 55 28 0 
20190218 19:57:56.314896 2 6 65 27 0 
20190218 19:57:56.315321 2 6 65 28 0 
20190218 19:57:56.315758 2 6 59 27 0 
20190218 19:57:56.316179 2 6 59 28 0 
20190218 19:57:56.316608 2 6 56 27 0 
20190218 19:57:56.317091 2 6 56 28 0 
20190218 19:57:56.317682 1 6 70 37 1.32020998 0 0 
20190218 19:57:56.318114 1 6 95 37 2.05867004 0 0 
20190218 19:57:56.318551 1 6 99 37 2.22257996 0 0 
20190218 19:57:56.318953 1 6 73 37 1.38755 0 0 
20190218 19:57:56.319367 1 6 96 37 2.0982101 0 0 
20190218 19:57:56.319770 1 6 58 37 1.09168994 0 0 
20190218 19:57:56.320169 1 6 62 37 1.16226995 0 0 
20190218 19:57:56.320691 1 6 88 37 1.80649996 0 0 
20190218 19:57:56.321093 1 6 71 37 1.34212995 0 0 
20190218 19:57:56.321492 2 6 89 27 0 
20190218 19:57:56.321887 2 6 89 28 0 
20190218 19:57:56.322261 2 6 73 27 0 
20190218 19:57:56.322637 2 6 73 28 0 
20190218 19:57:56.323023 2 6 96 27 0 
20190218 19:57:56.323508 2 6 96 28 0 
20190218 19:57:56.323965 2 6 58 27 0 
20190218 19:57:56.324424 2 6 58 28 0 
20190218 19:57:56.324857 2 6 74 27 0 
20190218 19:57:56.325299 2 6 74 28 0 
20190218 19:57:56.325757 2 6 99 27 0 
20190218 19:57:56.326179 2 6 99 28 0 
20190218 19:57:56.326760 2 6 95 27 0 
20190218 19:57:56.327236 2 6 95 28 0 
20190218 19:57:56.327708 1 6 83 37 1.64628994 0 0 
20190218 19:57:56.328248 1 6 80 37 1.56112003 0 0 
20190218 19:57:56.328737 1 6 92 37 1.94551003 0 0 
20190218 19:57:56.329396 1 6 84 37 1.67604995 0 0 
20190218 19:57:56.329873 1 6 54 37 1.02889001 0 0 
20190218 19:57:56.330630 1 6 76 37 1.45987999 0 0 
20190218 19:57:56.331173 1 6 81 37 1.58884001 0 0 
20190218 19:57:56.331643 1 6 90 37 1.87437999 0 0 
20190218 19:57:56.332107 1 6 66 37 1.23755002 0 0 
20190218 19:57:56.332592 1 6 74 37 1.41109002 0 0 
20190218 19:57:56.333129 2 6 70 27 0 
20190218 19:57:56.333575 2 6 70 28 0 
20190218 19:57:56.334131 2 6 82 27 0 
20190218 19:57:56.334547 2 6 82 28 0 
20190218 19:57:56.334988 2 6 92 27 0 
20190218 19:57:56.335417 2 6 92 28 0 
20190218 19:57:56.335841 2 6 80 27 0 
20190218 19:57:56.336252 2 6 80 28 0 
20190218 19:57:56.336684 2 6 83 27 0 
20190218 19:57:56.337213 2 6 83 28 0 
20190218 19:57:56.337636 2 6 54 27 0 
20190218 19:57:56.338074 2 6 54 28 0 
20190218 19:57:56.338587 2 6 84 27 0 
20190218 19:57:56.339032 2 6 84 28 0 
20190218 19:57:56.339462 2 6 81 27 0 
20190218 19:57:56.339982 2 6 81 28 0 
20190218 19:57:56.340403 1 6 72 37 1.36457002 0 0 
20190218 19:57:56.340862 1 6 82 37 1.61723006 0 0 
20190218 19:57:56.341295 2 6 76 27 0 
20190218 19:57:56.341696 2 6 76 28 0 
20190218 19:57:56.342098 2 6 66 27 0 
20190218 19:57:56.342519 2 6 66 28 0 
20190218 19:57:56.343041 2 6 90 27 0 
20190218 19:57:56.343511 2 6 90 28 0 
20190218 19:57:56.344075 2 6 72 27 0 
20190218 19:57:56.344592 2 6 72 28 0 
20190218 19:57:56.345098 1 6 57 37 1.07547998 0 0 
20190218 19:57:56.345633 2 6 97 27 0 
20190218 19:57:56.346110 2 6 97 28 0 
20190218 19:57:56.346712 2 6 64 27 0 
20190218 19:57:56.347229 2 6 64 28 0 
20190218 19:57:56.347738 2 6 85 27 0 
20190218 19:57:56.348257 2 6 85 28 0 
20190218 19:57:56.348754 2 6 100 27 0 
20190218 19:57:56.349306 2 6 100 28 0 
20190218 19:57:56.349838 2 6 94 27 0 
20190218 19:57:56.350472 2 6 94 28 0 
20190218 19:57:56.350977 2 6 93 27 0 
20190218 19:57:56.351475 2 6 93 28 0 
20190218 19:57:56.351994 2 6 77 27 0 
20190218 19:57:56.352480 2 6 77 28 0 
20190218 19:57:56.352961 1 6 94 37 2.02006006 0 0 
20190218 19:57:56.353488 1 6 93 37 1.98234999 0 0 
20190218 19:57:56.354095 1 6 64 37 1.19904006 0 0 
20190218 19:57:56.354588 1 6 77 37 1.48515999 0 0 
20190218 19:57:56.355108 1 6 85 37 1.70650995 0 0 
20190218 19:57:56.355628 1 6 97 37 2.13867998 0 0 
20190218 19:57:56.356175 1 6 100 37 2.25522995 0 0 
20190218 19:57:56.356704 1 6 69 37 1.29881001 0 0 
20190218 19:57:56.357238 1 6 98 37 2.18013 0 0 
20190218 19:57:56.358871 1 6 75 37 1.43518996 0 0 
20190218 19:57:56.359631 1 6 60 37 1.12714005 0 0 
20190218 19:57:56.360445 1 6 78 37 1.50759995 0 0 
20190218 19:57:56.361155 1 6 68 37 1.27790999 0 0 
